ticker,launch_date,launch_price,nov_9_price,cumulative_return
JUP,2024-01-31,0.7,0.85,21.428571428571434
NOT,2024-05-16,0.0085,0.0075,-11.764705882352951
PYTH,2023-11-20,0.45,0.38,-15.555555555555555
ZRO,2024-06-20,4.2,3.45,-17.857142857142858
BANANA,2024-07-18,55.0,42.5,-22.727272727272727
EIGEN,2024-10-01,4.2,2.8,-33.33333333333334
DOGS,2024-08-26,0.0011,0.00065,-40.90909090909092
CATI,2024-09-20,0.85,0.42,-50.588235294117645
SCR,2024-10-22,1.4,0.68,-51.42857142857142
ETHFI,2024-03-18,4.5,2.1,-53.333333333333336
BB,2024-05-13,0.6,0.28,-53.333333333333336
ZK,2024-06-17,0.25,0.11,-56.00000000000001
LISTA,2024-06-20,0.9,0.38,-57.777777777777786
SAGA,2024-04-09,4.8,1.85,-61.45833333333333
OMNI,2024-04-17,27.0,9.5,-64.81481481481481
ENA,2024-04-02,1.2,0.42,-65.0
HMSTR,2024-09-26,0.0095,0.0032,-66.31578947368422
IO,2024-06-11,4.9,1.65,-66.32653061224491
REZ,2024-04-30,0.15,0.045,-70.0
PIXEL,2024-02-19,0.55,0.12,-78.18181818181819
MANTA,2024-01-18,3.5,0.72,-79.42857142857143
XAI,2024-01-09,1.3,0.22,-83.07692307692308
ALT,2024-01-25,0.6,0.085,-85.83333333333334
PORTAL,2024-02-29,2.8,0.28,-89.99999999999999
AEVO,2024-03-13,3.5,0.35,-90.0
W,2024-04-03,1.8,0.18,-90.0
