ticker,launch_date,starting_price,final_price,cumulative_return,data_points
ZRO,2024-06-20,3.04,1.701,-44.046052631578945,507
LISTA,2024-06-20,0.6484,0.2659,-58.991363355953105,507
ETHFI,2024-03-18,3.021,0.995,-67.06388613042039,601
ENA,2024-04-02,1.134,0.3269,-71.17283950617283,586
EIGEN,2024-10-01,3.252,0.867,-73.33948339483395,404
ZK,2024-06-17,0.2202,0.05609,-74.52770208900999,510
BB,2024-05-13,0.3702,0.0929,-74.90545650999461,545
SCR,2024-10-22,0.941,0.163,-82.6780021253985,383
VANA,2024-12-16,17.802,2.972,-83.30524660150546,328
BANANA,2024-07-18,64.17,10.06,-84.32289231728221,478
OMNI,2024-04-17,25.01,3.88,-84.48620551779288,530
BIO,2025-01-03,0.6987,0.0808,-88.43566623729784,310
NOT,2024-05-16,0.00698,0.000762,-89.08309455587393,542
CATI,2024-09-20,0.9036,0.0683,-92.44134572819831,415
IO,2024-06-11,5.682,0.319,-94.38577965505104,516
REZ,2024-04-30,0.1528,0.00797,-94.78403141361255,558
HMSTR,2024-09-26,0.0068,0.000329,-95.16176470588235,409
DOGS,2024-08-26,0.0012379,5.32e-05,-95.70239922449309,440
PIXEL,2024-02-19,0.516,0.01522,-97.05038759689923,629
AEVO,2024-03-13,3.04,0.061,-97.99342105263158,606
SAGA,2024-04-09,6.126,0.1015,-98.34312765262816,579
PORTAL,2024-02-29,2.2854,0.0244,-98.9323531985648,619
