ticker,name,ico_price,listing_price,retail_entry_price,final_price,missed_gains,retail_return,days_held
SUI,Sui,0.1,1.3303,1.0736,2.1447,973.6,99.76713859910578,914
OP,Optimism,0.73,1.546,0.824,1.079,12.87671232876712,30.946601941747577,993
SEI,Sei Network,0.08,0.2148,0.1525,0.1819,90.62499999999999,19.27868852459017,810
JUP,Jupiter,0.4,0.6024,0.5099,0.3532,27.474999999999998,-30.73151598352618,641
APT,Aptos,7.0,7.3685,8.7013,5.096,24.30428571428571,-41.43403859193454,993
TIA,Celestia,2.0,2.5488,2.3693,1.021,18.464999999999996,-56.907103363862745,733
WLD,Worldcoin,0.15,2.257,2.43,0.817,1520.0000000000002,-66.37860082304528,832
ZK,ZKsync,0.2,0.2202,0.1692,0.05609,-15.400000000000011,-66.8498817966903,503
ENA,Ethena,0.01,1.134,1.461,0.3269,14510.0,-77.6249144421629,579
ARB,Arbitrum,1.2,1.2727,1.3897,0.2993,15.808333333333332,-78.46297762106929,955
PYTH,Pyth Network,0.25,0.481,0.5087,0.1055,103.48000000000002,-79.2608610182819,640
BLUR,Blur,0.3,0.6484,0.5052,0.04762,68.4,-90.57403008709423,710
W,Wormhole,0.25,1.075,0.779,0.0648,211.60000000000002,-91.6816431322208,578
STRK,Starknet,2.0,1.892,1.839,0.1481,-8.05,-91.94671016856988,621
MANTA,Manta Network,0.5,2.31273,3.48201,0.1117,596.4019999999999,-96.79208273382328,654
DYM,Dymension,2.5,5.722,8.28,0.097,231.2,-98.82850241545894,635
