ticker,name,launch_date,ico_price,listing_price,final_price,return_from_ico,return_from_listing,roi_multiple,days
ENA,Ethena,2024-04-02,0.01,1.134,0.3269,3169.0,-71.17283950617283,32.690000000000005,586
SUI,Sui,2023-05-03,0.1,1.3303,2.1447,2044.6999999999996,61.2192738480042,21.446999999999996,921
SEI,Sei Network,2023-08-15,0.08,0.2148,0.1819,127.375,-15.316573556797014,2.27375,817
OP,Optimism,2022-06-01,0.73,1.546,1.079,47.80821917808219,-30.206985769728334,1.478082191780822,1000
APT,Aptos,2022-10-19,7.0,7.3685,5.096,-27.199999999999996,-30.8407409920608,0.728,1000
TIA,Celestia,2023-10-31,2.0,2.5488,1.021,-48.95,-59.941933458882616,0.5105,740
W,Wormhole,2024-04-03,0.25,1.075,0.0648,-74.08,-93.97209302325582,0.2592,585
ARB,Arbitrum,2023-03-23,1.2,1.2727,0.2993,-75.05833333333332,-76.48306749430344,0.24941666666666668,962
STRK,Starknet,2024-02-20,2.0,1.892,0.1481,-92.595,-92.1723044397463,0.07405,628
DYM,Dymension,2024-02-06,2.5,5.722,0.097,-96.12,-98.3047885354771,0.0388,642
