iter	Passed	Remaining
0	9	2251
1	16	1942
2	21	1604
3	28	1625
4	30	1386
5	37	1427
6	45	1458
7	54	1523
8	62	1549
9	72	1599
10	78	1579
11	85	1571
12	93	1576
13	101	1577
14	109	1579
15	116	1577
16	125	1589
17	134	1593
18	142	1601
19	150	1595
20	159	1601
21	167	1598
22	176	1602
23	183	1593
24	192	1597
25	200	1586
26	208	1585
27	215	1572
28	216	1516
29	225	1518
30	232	1509
31	241	1509
32	249	1504
33	258	1507
34	266	1498
35	274	1494
36	281	1485
37	291	1485
38	298	1477
39	307	1476
40	315	1469
41	324	1466
42	331	1456
43	338	1447
44	346	1439
45	353	1431
46	361	1424
47	369	1414
48	376	1405
49	383	1396
50	390	1387
51	398	1379
52	407	1375
53	417	1375
54	427	1375
55	437	1376
56	446	1371
57	454	1362
58	461	1352
59	467	1340
60	474	1330
61	482	1322
62	489	1313
63	497	1306
64	504	1296
65	512	1288
66	519	1278
67	526	1270
68	534	1261
69	541	1252
70	548	1243
71	555	1233
72	562	1224
73	568	1214
74	575	1205
75	583	1196
76	590	1188
77	597	1178
78	603	1169
79	612	1162
80	619	1154
81	626	1146
82	633	1137
83	640	1129
84	649	1123
85	657	1115
86	665	1108
87	672	1100
88	680	1093
89	689	1088
90	697	1080
91	705	1073
92	713	1067
93	722	1060
94	730	1052
95	738	1046
96	746	1038
97	754	1031
98	762	1024
99	770	1017
100	778	1009
101	787	1003
102	795	995
103	803	988
104	811	981
105	820	974
106	828	967
107	836	960
108	844	952
109	852	945
110	861	939
111	870	932
112	878	924
113	887	918
114	894	909
115	902	902
116	910	894
117	920	888
118	928	881
119	936	873
120	943	865
121	951	858
122	959	850
123	968	843
124	975	835
125	984	828
126	991	819
127	1000	812
128	1007	804
129	1016	797
130	1023	789
131	1032	781
132	1040	774
133	1048	766
134	1055	758
135	1063	750
136	1071	743
137	1079	735
138	1086	727
139	1094	718
140	1101	710
141	1108	702
142	1116	694
143	1123	686
144	1131	678
145	1138	670
146	1147	663
147	1157	656
148	1165	649
149	1174	642
150	1184	635
151	1193	628
152	1203	621
153	1212	614
154	1223	607
155	1231	599
156	1245	594
157	1254	587
158	1262	579
159	1272	572
160	1280	564
161	1288	556
162	1296	548
163	1304	541
164	1312	532
165	1320	524
166	1328	516
167	1336	509
168	1345	501
169	1352	493
170	1360	485
171	1367	476
172	1375	468
173	1382	460
174	1389	452
175	1396	444
176	1403	436
177	1410	428
178	1418	419
179	1425	411
180	1433	403
181	1441	395
182	1449	388
183	1456	380
184	1463	371
185	1471	363
186	1478	355
187	1485	347
188	1493	339
189	1500	331
190	1507	323
191	1514	315
192	1521	307
193	1528	299
194	1535	291
195	1543	283
196	1550	275
197	1557	267
198	1566	259
199	1575	252
200	1583	244
201	1590	236
202	1597	228
203	1604	220
204	1611	212
205	1618	204
206	1625	196
207	1632	188
208	1640	180
209	1648	172
210	1655	164
211	1663	156
212	1670	148
213	1677	141
214	1685	133
215	1692	125
216	1699	117
217	1708	109
218	1716	101
219	1725	94
220	1732	86
221	1741	78
222	1749	70
223	1758	62
224	1766	54
225	1776	47
226	1783	39
227	1792	31
228	1799	23
229	1808	15
230	1815	7
231	1823	0
