feature,count,missing,missing_pct,dtype,mean,std,min,max,q25,q50,q75
ethereum_open,1461,0,0.0,float64,1717.5736413415468,1110.2290495103844,110.16,4815.48,737.82,1677.81,2281.67
ethereum_close,1461,0,0.0,float64,1719.3464818617385,1109.8633660541211,110.6,4815.0,752.86,1678.92,2292.58
ethereum_high,1461,0,0.0,float64,1765.0730390143738,1142.117531166089,118.13,4878.26,756.57,1722.2,2342.01
ethereum_low,1461,0,0.0,float64,1666.803264887064,1074.5917511241464,94.1,4738.6,722.57,1643.67,2187.92
ethereum_total_volume,1461,0,0.0,float64,17445547161.42406,13338069857.968414,2179799161.0385365,140906534190.58786,9173151405.888998,14022344430.178228,21112670623.39463
ethereum_market_cap,1461,0,0.0,float64,203847559196.33536,131898608803.22275,11956631650.303354,571665766496.0859,85790178023.44371,200591326138.499,268838784855.6686
ethereum_open_btc,1461,0,0.0,float64,0.05470348310707313,0.0193940126746159,0.017476045024889253,0.08780526941362916,0.03324863832893481,0.0628349375871569,0.07008968609865471
ethereum_high_btc,1461,0,0.0,float64,0.05500791558987397,0.01945552139806416,0.01744472974616094,0.08809900444654312,0.033587377040648146,0.06298440979955457,0.07040692525681898
ethereum_low_btc,1461,0,0.0,float64,0.054364317022019194,0.019312964705990067,0.01736657020681903,0.08687252217272246,0.03303023420583293,0.06268665534303228,0.06964883516986312
ethereum_close_btc,1461,0,0.0,float64,0.054736382789550626,0.0193810438961598,0.017433962357953664,0.08770116762319415,0.03333835513250702,0.06285959845984598,0.07007020702070207
ethereum_volume_btc,1461,0,0.0,float64,0.5808872443236699,0.3198164350616076,0.16823390863541143,6.394395579632958,0.39738588760678356,0.5535125400650931,0.6852395952389063
bitcoin_open,1461,0,0.0,float64,28905.002217659134,15133.93476693311,5054.12,67539.0,16973.12,27390.0,39757.0
bitcoin_close,1461,0,0.0,float64,28929.88171800137,15129.729948805232,5032.5,67617.0,16973.37,27392.0,39915.0
bitcoin_high,1461,0,0.0,float64,29569.56266255989,15541.805165194462,5359.95,69045.0,17190.71,27820.0,40840.0
bitcoin_low,1461,0,0.0,float64,28205.87670773443,14687.190988644117,4249.6,66566.0,16782.06,26890.0,38760.0
bitcoin_total_volume,1461,0,0.0,float64,31118776305.16052,17733993490.71318,404806432.52168876,178894068361.35312,19379463385.296654,27449277945.59262,38922547592.862114
bitcoin_market_cap,1461,0,0.0,float64,548809193709.2611,285894413997.7851,91962797384.28253,1278797895528.3608,326371741274.41095,530515158753.954,756090806420.8264
credit_spread,1461,0,0.0,float64,4.369917864476386,1.1977646389151069,3.01,10.87,3.51,4.1,4.84
vix_open,1461,0,0.0,float64,23.080136879432047,8.569474088649255,11.960000038146973,82.69000244140625,17.43000030517578,21.719999313354492,26.65999984741211
vix_close,1461,0,0.0,float64,22.7038946314922,8.350982250864815,12.069999694824219,82.69000244140625,17.200000762939453,21.25,26.209999084472656
vix_high,1461,0,0.0,float64,24.343593392447197,9.414844641115856,12.420000076293945,85.47000122070312,18.219999313354492,22.6299991607666,28.270000457763672
vix_low,1461,0,0.0,float64,21.71357972943399,7.573258055774592,11.75,70.37000274658203,16.579999923706055,20.6200008392334,25.25
vix_volume,1461,0,0.0,float64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rty_ym_ratio,1461,0,0.0,float64,0.05845840237739495,0.005261575323625883,0.049774611022248075,0.07344139963093069,0.05464834182491964,0.05719936857437089,0.0624274364351348
