fast_period,slow_period,profit_factor,n_trades
5,20,1.110437547344941,83
5,21,1.1168868129743212,81
5,22,1.1171697994639453,81
5,23,1.137254783348167,83
5,24,1.1605376271080952,73
5,25,1.15612775220003,69
5,26,1.136087414253309,67
5,27,1.1515616800985042,67
5,28,1.1523562601035404,65
5,29,1.1554342067834833,63
5,30,1.1466388342321903,63
5,31,1.1397776138600222,63
5,32,1.1401562767062818,63
5,33,1.1365770633627892,63
5,34,1.1364554111507794,61
5,35,1.1393082487560777,61
5,36,1.1391526954871045,61
5,37,1.145768092998484,59
5,38,1.1371891468085167,57
5,39,1.1417057242128261,57
5,40,1.1460563161595336,57
5,41,1.1549539258601595,57
5,42,1.1665856043283613,51
5,43,1.1728285079424805,47
5,44,1.1724267296749988,45
5,45,1.1652982165359056,47
5,46,1.1676827264655083,47
5,47,1.154446169880056,47
5,48,1.1498582159060895,47
5,49,1.1499757257052696,49
5,50,1.1527751278599887,49
6,20,1.1225304121309554,79
6,21,1.1380200662945652,71
6,22,1.1424448510744263,77
6,23,1.1550625132248953,67
6,24,1.1359372142793902,65
6,25,1.1304143475203003,63
6,26,1.1389402421297687,63
6,27,1.1393985850038235,59
6,28,1.1296218018473145,57
6,29,1.1280109279501855,57
6,30,1.1066759739166143,57
6,31,1.1167197918081346,57
6,32,1.121775893101038,57
6,33,1.1366410854039632,55
6,34,1.1339924885631847,55
6,35,1.1345587561348265,53
6,36,1.136621805229469,53
6,37,1.1170387065720973,57
6,38,1.1219475021864898,59
6,39,1.1446348858334985,55
6,40,1.150873845349205,45
6,41,1.1417796522709478,45
6,42,1.1350438988337015,45
6,43,1.136125968236454,43
6,44,1.1355096426799716,43
6,45,1.136897168308481,41
6,46,1.1337640098203143,45
6,47,1.1262444248639727,45
6,48,1.1257115046143953,45
6,49,1.1261338741087026,47
6,50,1.1273410263460868,47
7,20,1.1099174513505279,71
7,21,1.134406849721392,71
7,22,1.1571907946393416,61
7,23,1.1381335263872723,59
7,24,1.1389247559311486,61
7,25,1.1380628865539026,57
7,26,1.1384515272190245,57
7,27,1.115780424803052,57
7,28,1.1219939965204315,55
7,29,1.1296682907830036,51
7,30,1.1377255026156037,51
7,31,1.1485661134746126,51
7,32,1.1415013123612934,49
7,33,1.148364768852826,47
7,34,1.1522966545184572,47
7,35,1.1464878817015747,47
7,36,1.140684426387601,47
7,37,1.1557905745998156,43
7,38,1.1555857611842746,41
7,39,1.142421022550798,41
7,40,1.1512128761151932,41
7,41,1.1433567752448666,37
7,42,1.1392082820496883,37
7,43,1.1380107598963587,37
7,44,1.1278395342383485,43
7,45,1.1387332135189407,41
7,46,1.128709572950782,47
7,47,1.1243950815100079,45
7,48,1.1143876019469943,47
7,49,1.1094682452446354,45
7,50,1.11515864860687,45
8,20,1.1576213470908494,63
8,21,1.1472211035663042,59
