feature,count,missing,missing_pct,dtype,mean,std,min,max,q25,q50,q75
ethereum_open,1362,0,0.0,float64,1829.238142437592,1066.747673614152,153.08,4815.48,1222.81,1769.025,2357.955
ethereum_close,1362,0,0.0,float64,1831.1128046989722,1066.1828672627362,153.22,4815.0,1227.0125,1770.185,2359.075
ethereum_high,1362,0,0.0,float64,1879.7050440528635,1097.7592240675808,159.0,4878.26,1265.1174999999998,1809.7150000000001,2452.15
ethereum_low,1362,0,0.0,float64,1775.3004185022025,1031.8612524421335,150.06,4738.6,1195.0975,1718.55,2267.6775
ethereum_total_volume,1362,0,0.0,float64,17534338854.048378,13646208057.627924,2179799161.0385365,140906534190.58786,9028765392.502258,14002566374.302498,21183603112.45826
ethereum_market_cap,1362,0,0.0,float64,217214712534.4814,126577470273.76791,16933905371.155535,571665766496.0859,146762669558.02383,208663451745.15845,279413777145.4978
ethereum_open_btc,1362,0,0.0,float64,0.05707707573141889,0.017876578218017903,0.02084726264202791,0.08780526941362916,0.037266473835738126,0.06353231894168185,0.07055998951378348
ethereum_high_btc,1362,0,0.0,float64,0.05738414443305472,0.017941333348094727,0.02084726264202791,0.08809900444654312,0.037516816629552224,0.06358128055474196,0.0709497858249845
ethereum_low_btc,1362,0,0.0,float64,0.05673213088754541,0.017795895661065646,0.020845251444556494,0.08687252217272246,0.037039921862789156,0.0633990571157488,0.07003157714880598
ethereum_close_btc,1362,0,0.0,float64,0.05710919728139938,0.017863364834180186,0.020816814897222036,0.08770116762319415,0.03736322716621687,0.06350565416022771,0.07050894064973004
ethereum_volume_btc,1362,0,0.0,float64,0.5960925777939045,0.3248845867055295,0.16823390863541143,6.394395579632958,0.43329863548730024,0.5660836985497937,0.699500286983344
bitcoin_open,1362,0,0.0,float64,30413.04901615272,14558.881473181937,6628.93,67539.0,19356.440000000002,28509.5,41007.5
bitcoin_close,1362,0,0.0,float64,30439.5312701909,14551.755920341506,6629.43,67617.0,19359.04,28506.0,41140.0
bitcoin_high,1362,0,0.0,float64,31111.686079295152,14961.979822463898,6907.73,69045.0,19628.03,29060.0,42307.0
bitcoin_low,1362,0,0.0,float64,29679.02308370044,14113.601137549767,6554.15,66566.0,19047.504999999997,27986.0,39875.75
bitcoin_total_volume,1362,0,0.0,float64,30302403494.92263,17787559762.599873,404806432.52168876,178894068361.35312,18779402282.43268,26007736240.765747,37536430852.08827
bitcoin_market_cap,1362,0,0.0,float64,577893934658.5367,274115896031.3385,121499498109.80829,1278797895528.3608,370195002483.71735,549312045528.34985,779622104728.0262
solana_open,1362,0,0.0,float64,45.20773600807636,54.0209948167555,0.514757,258.93,12.71,24.61,46.900000000000006
solana_close,1362,0,0.0,float64,45.292452239353885,54.02556080366028,0.513923,259.24,12.9,24.68,47.1175
solana_high,1362,0,0.0,float64,47.26193329148312,56.286159426820944,0.557306,259.96,13.425,25.37,50.2325
solana_low,1362,0,0.0,float64,43.26468492731277,51.65800792355617,0.500801,247.01,12.02,23.855,44.082499999999996
solana_total_volume,1362,0,0.0,float64,1029122171.0162692,1308022576.4504073,548910.1111122454,16149087501.300968,155327409.0561048,588282244.5662551,1425227139.4945598
solana_market_cap,1362,0,0.0,float64,14736464301.656898,16737384144.64535,4171226.2991002905,77427308372.12741,3801412100.058579,9029138445.151608,16554713087.136606
solana_open_btc,1362,0,0.0,float64,0.0012047923612578213,0.0010293000667680112,4.98648700087549e-05,0.0041977530275764795,0.00032288118003570885,0.0008509839994361248,0.0017138718274978535
solana_high_btc,1362,0,0.0,float64,0.0012324460943780578,0.0010486166225015636,4.976002258610954e-05,0.0045099613377558995,0.0003379498040180169,0.0008685593568869218,0.0017544154406376852
solana_low_btc,1362,0,0.0,float64,0.001180933191020545,0.0010099702968130676,4.883578965727741e-05,0.004025736095965104,0.00030234048756376373,0.000838834645565783,0.0016942384245010155
solana_close_btc,1362,0,0.0,float64,0.0012068453605001588,0.0010296073167820263,4.957801914998297e-05,0.004204278230972576,0.00032341868107427436,0.0008506085442606384,0.0017185130970319693
solana_volume_btc,1362,0,0.0,float64,0.039733547978328176,0.04622188244094078,1.0540439774172567e-05,0.3983304831359026,0.003916759741832971,0.025841749227350788,0.05931959442973621
credit_spread,1362,0,0.0,float64,4.288656387665198,1.0055124483337694,3.01,8.03,3.5025,4.125,4.81
vix_open,1362,0,0.0,float64,22.39499264281577,6.08960004389215,11.960000038146973,44.90999984741211,17.6299991607666,21.72499942779541,26.360000610351562
vix_close,1362,0,0.0,float64,22.029236447618572,5.971306472992914,12.069999694824219,45.40999984741211,17.329999923706055,21.27500057220459,25.84000015258789
vix_high,1362,0,0.0,float64,23.530917731325708,6.595416398138584,12.460000038146973,47.77000045776367,18.420000076293945,22.639999389648438,27.65000009536743
vix_low,1362,0,0.0,float64,21.156762106303077,5.57870831876779,11.8100004196167,43.77000045776367,16.802499294281006,20.639999389648438,24.894999504089355
vix_volume,1362,0,0.0,float64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rty_ym_ratio,1362,0,0.0,float64,0.05865171012194608,0.005348719156173485,0.049774611022248075,0.07344139963093069,0.05468526627491609,0.0570901716625897,0.06309326677608193
