timestamp,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2024-01-01,0.0,,0.0,0.0,
2024-01-02,0.0,,0.0,0.0,
2024-01-03,0.0,,0.0,0.0,
2024-01-04,0.0,,0.0,0.0,
2024-01-05,0.0,,0.0,0.0,
2024-01-06,0.0,,0.0,0.0,
2024-01-07,0.0,,0.0,0.0,
2024-01-08,0.0,,0.0,0.0,
2024-01-09,0.0,,0.0,0.0,
2024-01-10,0.0,,0.0,0.0,
2024-01-11,-1.0,time,5.0,-0.04357537440609323,0.037533498978928846
2024-01-12,-1.0,time,5.0,-0.006656787127565643,0.03941804975533154
2024-01-13,-1.0,time,5.0,-0.04106972737980582,0.036762664868093035
2024-01-14,-1.0,time,5.0,-0.056684024423542395,0.03425104570750703
2024-01-15,-1.0,time,5.0,-0.04161572194536165,0.03198116758058277
2024-01-16,-1.0,time,5.0,-0.05174893723580712,0.029909942595691637
2024-01-17,-1.0,lower,5.0,-0.07770743689431933,0.028244496589855575
2024-01-18,-1.0,lower,5.0,-0.06377806919074977,0.027732677787118357
2024-01-19,-1.0,time,5.0,-0.048245813048423,0.026158296874674625
2024-01-20,-1.0,lower,3.0,-0.06569952552459735,0.02584475906370749
2024-01-21,-1.0,lower,2.0,-0.05492917900436725,0.024415965608890748
2024-01-22,1.0,time,5.0,0.008663624558172834,0.025466757528393634
2024-01-23,1.0,time,5.0,0.012444226136803675,0.02410705097956731
2024-01-24,1.0,time,5.0,0.03212908978122002,0.023086437146735396
2024-01-25,-1.0,time,5.0,-0.005605557764017884,0.021830747655565808
2024-01-26,-1.0,lower,5.0,-0.056669362690537975,0.024869312985745625
2024-01-27,-1.0,lower,4.0,-0.05271502443606027,0.023544584251671923
2024-01-28,-1.0,time,5.0,-0.0270469181904572,0.02240497179284526
2024-01-29,-1.0,lower,1.0,-0.04660550937933389,0.022751084221117122
2024-01-30,-1.0,time,5.0,-0.01497512786036257,0.02554238864864361
2024-01-31,1.0,time,5.0,0.0064983695364610366,0.024385062811942335
2024-02-01,-1.0,time,5.0,-0.001667552260039844,0.023532939876966665
2024-02-02,1.0,time,5.0,0.006509283192704299,0.022769207579915254
2024-02-03,-1.0,time,5.0,-0.009590681918274205,0.02267311265158279
2024-02-04,1.0,time,5.0,0.043483632401071705,0.02316652471544552
2024-02-05,1.0,time,5.0,0.03445368890024965,0.02224971555431365
2024-02-06,1.0,time,5.0,0.04029682249058553,0.02114306600516548
2024-02-07,1.0,time,5.0,0.035900339681215844,0.02102782976006022
2024-02-08,1.0,time,5.0,0.021149289727038348,0.02000309935968679
2024-02-09,1.0,time,5.0,0.023455421466550573,0.020379549736976154
2024-02-10,1.0,upper,5.0,0.07155651933204706,0.019403485159960522
2024-02-11,1.0,upper,4.0,0.06762203805153451,0.018474798425531416
2024-02-12,1.0,upper,3.0,0.055743375367244045,0.01789474209036349
2024-02-13,1.0,upper,2.0,0.06918635519988288,0.01760761331999986
2024-02-14,1.0,upper,1.0,0.04452988328854849,0.01831159352597354
2024-02-15,1.0,time,5.0,0.0011012806163304264,0.02156418399347197
2024-02-16,-1.0,time,5.0,-0.028069210210669916,0.02051034146694564
2024-02-17,-1.0,time,5.0,-0.016062401361193693,0.02198197489287957
2024-02-18,-1.0,time,5.0,-0.04056589280578624,0.0211004586865484
2024-02-19,-1.0,lower,4.0,-0.05014644064273294,0.020131730025212125
2024-02-20,-1.0,lower,2.0,-0.04002594982784753,0.01916181427142086
2024-02-21,1.0,time,5.0,0.003304929237836256,0.020231123376094763
2024-02-22,1.0,upper,5.0,0.08189303875455899,0.019887717548513293
2024-02-23,1.0,upper,4.0,0.09366590563523,0.019237006389623886
2024-02-24,1.0,upper,3.0,0.0752832495861098,0.019226230146727318
2024-02-25,1.0,upper,2.0,0.07927631348081479,0.01833721572996779
2024-02-26,1.0,upper,1.0,0.06338433182734177,0.018068781815932244
2024-02-27,1.0,upper,4.0,0.09137511293831466,0.025326334076588537
2024-02-28,1.0,upper,3.0,0.11001292836142104,0.02535314986247176
2024-02-29,1.0,upper,2.0,0.09152494327276753,0.024447656289220368
2024-03-01,1.0,upper,1.0,0.06741587796049894,0.02385795459232168
2024-03-02,-1.0,lower,3.0,-0.07800164763977858,0.028896893793194305
2024-03-03,-1.0,time,5.0,-0.00835941322645216,0.030049605837547014
2024-03-04,-1.0,lower,1.0,-0.08974610761234615,0.029837035685231786
2024-03-05,1.0,time,5.0,0.02205201505254075,0.04191621722752296
2024-03-06,1.0,upper,5.0,0.15691628301986135,0.040650388975227394
2024-03-07,1.0,upper,4.0,0.13199909955825256,0.03911030116404751
2024-03-08,1.0,upper,3.0,0.14303723022826284,0.03760322123156545
2024-03-09,1.0,upper,2.0,0.14137806052555535,0.03578397627938862
2024-03-10,1.0,upper,1.0,0.16405524079730552,0.03505024497269815
2024-03-11,-1.0,lower,4.0,-0.12267890702064387,0.059008488507522015
2024-03-12,-1.0,lower,4.0,-0.13402831632438678,0.05880241515801423
2024-03-13,-1.0,lower,3.0,-0.13542419045225862,0.05602654646104498
2024-03-14,-1.0,lower,5.0,-0.13402359086542828,0.05473149304517179
2024-03-15,-1.0,time,5.0,-0.0362200357309543,0.055197485665190935
2024-03-16,1.0,time,5.0,0.06277530368059422,0.054895244664038015
2024-03-17,-1.0,time,5.0,-0.01394486377495104,0.053049324339533376
2024-03-18,-1.0,lower,1.0,-0.11094312000073529,0.053128289548090187
2024-03-19,1.0,time,5.0,0.07957257304545738,0.061373557435994944
2024-03-20,1.0,time,5.0,0.04528231377132799,0.06033068878081003
2024-03-21,-1.0,time,5.0,-0.013283876406698928,0.05923894149433799
2024-03-22,1.0,time,5.0,0.002827764329348994,0.058505236275591066
2024-03-23,1.0,time,5.0,0.009595936464420567,0.05581135810407444
2024-03-24,-1.0,time,5.0,-0.00494663259701859,0.05363546835169828
2024-03-25,-1.0,time,5.0,-0.030180364727684837,0.0510739334256082
2024-03-26,-1.0,time,5.0,-0.006186277930402363,0.048761800066022216
2024-03-27,-1.0,time,5.0,-0.00024337358373398114,0.04752349063003688
2024-03-28,-1.0,time,5.0,-0.06426327424273479,0.04564285509587741
2024-03-29,-1.0,lower,5.0,-0.0915981502562927,0.04352517583508383
2024-03-30,-1.0,time,5.0,-0.04537399982221701,0.04169244764822877
2024-03-31,-1.0,lower,3.0,-0.08902262173874954,0.03985676025599822
2024-04-01,-1.0,time,5.0,-0.03111522861614148,0.03882781220025877
2024-04-02,1.0,time,5.0,0.015991418046099513,0.039144336546290376
2024-04-03,1.0,time,5.0,0.06745499538306517,0.03737979486436922
2024-04-04,1.0,time,5.0,0.033523247542177045,0.03734853978794617
2024-04-05,1.0,time,5.0,0.048647796843513065,0.03556716369593824
2024-04-06,1.0,time,5.0,0.025711479042711108,0.03405723012995455
2024-04-07,-1.0,lower,5.0,-0.08089031397963323,0.032428000408713534
2024-04-08,-1.0,lower,4.0,-0.1153868076239954,0.03277223176284998
2024-04-09,-1.0,lower,3.0,-0.1123784351221899,0.031198694737820623
2024-04-10,-1.0,lower,2.0,-0.11835538187219379,0.029716259589052
2024-04-11,-1.0,lower,1.0,-0.10446050423292558,0.028634770999791222
2024-04-12,-1.0,lower,1.0,-0.13152727286710875,0.04158366651832316
2024-04-13,1.0,time,5.0,0.044263588348076435,0.053876600371119174
2024-04-14,-1.0,time,5.0,-0.0015889435087844295,0.05551480148924659
2024-04-15,1.0,time,5.0,0.06081758508969077,0.05280519388004912
2024-04-16,1.0,time,5.0,0.05455436724054097,0.05037700264410342
2024-04-17,1.0,upper,5.0,0.11676257031925345,0.048020266326920115
2024-04-18,1.0,upper,4.0,0.10105785585008556,0.0464710624675513
2024-04-19,1.0,upper,3.0,0.0976674733745529,0.04438642743581567
2024-04-20,-1.0,time,5.0,-0.006111527005258464,0.04544246266126134
2024-04-21,1.0,time,5.0,0.003186029122124948,0.04324962404600726
2024-04-22,-1.0,time,5.0,-0.0698969269792684,0.045276476790252734
2024-04-23,-1.0,time,5.0,-0.06697911998945671,0.04355515190537781
2024-04-24,-1.0,time,5.0,-0.02356116617098109,0.042674029932418374
2024-04-25,-1.0,time,5.0,-0.04924913349155445,0.04059108101732821
2024-04-26,-1.0,time,5.0,-0.0190531677454838,0.03863029573149418
2024-04-27,-1.0,time,5.0,-0.00031053594703101147,0.03690403579641636
2024-04-28,1.0,time,5.0,0.04132930684616163,0.03531047741737516
2024-04-29,1.0,time,5.0,0.028981377197646388,0.03387280720167113
2024-04-30,1.0,time,5.0,0.05696535281684753,0.03310445353154529
2024-05-01,1.0,time,5.0,0.04617553428867519,0.03343084137555535
2024-05-02,1.0,time,5.0,0.012099094353658378,0.03187141623146591
2024-05-03,-1.0,time,5.0,-0.02612422403006462,0.03138238663923922
2024-05-04,-1.0,time,5.0,-0.016932771188192006,0.029869697156930646
2024-05-05,-1.0,time,5.0,-0.052879170300414495,0.028414503250328342
2024-05-06,-1.0,lower,4.0,-0.07326308945578537,0.027701324020471867
2024-05-07,-1.0,time,5.0,-0.048917962564921376,0.028020473539516214
2024-05-08,-1.0,time,5.0,-0.026000185203677615,0.02690880026186885
