timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,signal,label,barrier_touched,return_at_barrier,bitcoin_log_return_1
2024-01-01,42261.0,44169.0,44169.0,42242.0,16958999497.58364,863804922701.8125,1,0.0,time,-0.0048,0.04541340901647714
2024-01-02,44148.0,44995.0,45870.0,44148.0,39089952715.542786,878395004792.8407,1,0.0,lower,-0.0495,0.01852818693453057
2024-01-03,44952.0,42822.0,45469.0,41805.0,43146162597.56747,838208392904.1771,1,1.0,upper,0.0917,-0.04949938326892658
2024-01-04,42863.0,44196.0,44814.0,42675.0,26123887042.79777,866352960236.8643,1,1.0,upper,0.0602,0.03158229803394314
2024-01-05,44174.0,44114.0,44281.0,43116.0,29364675804.010384,863690851062.0247,1,1.0,upper,0.062,-0.0018570948605323967
2024-01-06,44165.0,43956.0,44221.0,43479.0,11841102132.239353,861211168830.4689,1,1.0,upper,0.0656,-0.003588058805718564
2024-01-07,44002.0,43884.0,44489.0,43687.0,15144653805.362787,856926317087.4954,1,1.0,upper,0.0672,-0.0016393446294331684
2024-01-08,43953.0,46936.0,47193.0,43248.0,40821502383.50064,919666641903.4098,1,0.0,lower,-0.0901,0.06723518266831421
2024-01-09,46967.0,46106.0,47680.0,45416.0,39887918405.77868,902166917320.3264,1,0.0,lower,-0.0722,-0.01784187824615453
2024-01-10,46141.0,46632.0,47599.0,44591.0,52030057180.57072,915259343942.0361,1,0.0,lower,-0.0836,0.011343907365844378
2024-01-11,46566.0,46314.0,48888.0,45662.0,49198128806.306175,909846384596.2129,1,0.0,lower,-0.0767,-0.006842709547476863
2024-01-12,46369.0,42894.0,46504.0,41730.0,45913301456.05085,838383512176.7352,1,0.0,time,-0.0042,-0.07671233518300202
2024-01-13,42871.0,42848.0,43213.0,42434.0,19424747840.478386,839198740717.084,1,0.0,time,-0.0377,-0.001072986504007795
2024-01-14,42823.0,41801.0,43088.0,41754.0,16968959097.076523,822907066751.3778,1,0.0,time,-0.0048,-0.024738706819236383
2024-01-15,41747.0,42587.0,43313.0,41747.0,22634527323.56315,835225973285.8562,1,0.0,time,-0.0228,0.01862877969444427
2024-01-16,42506.0,43148.0,43539.0,42170.0,22023116042.275295,845770850849.578,1,0.0,time,-0.0379,0.013087024129212593
2024-01-17,43136.0,42714.0,43198.0,42221.0,21299064875.187115,836987995502.6503,1,0.0,lower,-0.0781,-0.010109331163391423
2024-01-18,42753.0,41261.0,42883.0,40655.0,25160430945.289833,808845819110.2808,-1,1.0,time,-0.0352,-0.034608991451670346
2024-01-19,41260.0,41601.0,42094.0,40300.0,24407872954.726807,815241536115.3193,-1,1.0,time,-0.0361,0.00820646154171603
2024-01-20,41624.0,41626.0,41844.0,41423.0,9533488489.00503,817217622403.9753,-1,1.0,time,-0.0414,0.0006007665962228821
2024-01-21,41661.0,41542.0,41843.0,41513.0,8032696833.695371,814709364023.4832,-1,0.0,time,0.0077,-0.0020200083821430453
2024-01-22,41546.0,39505.0,41645.0,39505.0,31202848830.101707,775020895102.2928,-1,0.0,upper,0.058,-0.050277717479220066
2024-01-23,39519.0,39833.0,40125.0,38520.0,29683327703.0343,779133357029.7626,-1,0.0,upper,0.0558,0.008268468292908586
2024-01-24,39852.0,40124.0,40499.0,39544.0,22217129215.385582,786928905377.1826,-1,0.0,upper,0.0754,0.007278944553633549
2024-01-25,40062.0,39938.0,40262.0,39538.0,13376924612.77818,783180536824.566,-1,0.0,upper,0.0532,-0.004646407400038829
2024-01-26,39917.0,41863.0,42195.0,39827.0,22681602408.52447,820989861818.084,-1,0.0,time,0.0171,0.047074130291635645
2024-01-27,41863.0,42120.0,42174.0,41439.0,10694258830.371908,826254540126.2368,-1,0.0,time,0.0223,0.0061203053529392745
2024-01-28,42137.0,42027.0,42743.0,41735.0,13669905344.783924,824240091063.3245,-1,0.0,time,0.0269,-0.0022104183836881438
2024-01-29,42037.0,43268.0,43287.0,41806.0,20680322267.003654,849198976216.4734,-1,1.0,time,-0.0067,0.029101062885956645
2024-01-30,43286.0,42892.0,43762.0,42792.0,24526664209.358597,839294111912.5715,-1,1.0,time,-0.0069,-0.008728003410143955
2024-01-31,42950.0,42583.0,43655.0,42289.0,22197944957.07849,835421372330.6442,-1,0.0,time,0.0015,-0.007230215761482049
2024-02-01,42572.0,43069.0,43250.0,41883.0,22443682768.722225,844585195327.6586,-1,0.0,time,0.0004,0.011348368182878361
2024-02-02,43084.0,43171.0,43382.0,42586.0,18624791426.130833,846561992602.431,1,1.0,time,0.0246,0.002365492754225867
2024-02-03,43173.0,42977.0,43361.0,42884.0,7779819312.310763,842668526994.8004,1,1.0,upper,0.0535,-0.004503884662217411
2024-02-04,42991.0,42599.0,43110.0,42429.0,11250814654.362,835416357159.2295,1,1.0,upper,0.0623,-0.00883431004990589
2024-02-05,42575.0,42648.0,43520.0,42284.0,18682275991.626797,836630860392.2917,1,1.0,upper,0.0612,0.0011496006990618628
2024-02-06,42651.0,43088.0,43327.0,42524.0,17131113853.23615,845393687725.6221,1,1.0,upper,0.0509,0.010264156548783208
2024-02-07,43078.0,44247.0,44322.0,42759.0,21200879624.73537,868672050077.7697,1,1.0,upper,0.0634,0.026543036476231876
2024-02-08,44318.0,45338.0,45559.0,44318.0,27709605138.49859,890468166608.419,1,1.0,upper,0.039,0.024357960400858525
2024-02-09,45306.0,47143.0,48018.0,45258.0,41993952311.122856,925541926938.6151,1,1.0,upper,0.0598,0.03904000275731804
2024-02-10,47151.0,47769.0,48106.0,46890.0,16461159742.317774,938210772985.4427,1,1.0,upper,0.0466,0.01319135783874706
2024-02-11,47770.0,48190.0,48487.0,47624.0,13196875460.84672,945579645769.01,1,1.0,upper,0.0379,0.008774637109842694
2024-02-12,48296.0,50050.0,50260.0,47729.0,37684440686.70893,981463410832.9637,1,1.0,upper,0.0414,0.03787097510898822
2024-02-13,49962.0,49732.0,50241.0,48385.0,37331081151.024765,974585308372.1277,1,1.0,upper,0.0405,-0.0063739166705384384
2024-02-14,49758.0,51790.0,51937.0,49320.0,41805076939.80903,1017596576729.7906,1,0.0,time,-0.0005,0.040548491345109024
2024-02-15,51821.0,51958.0,52801.0,51384.0,31991869491.056656,1020725811639.5323,1,1.0,time,0.0063,0.003238619478759235
2024-02-16,51941.0,52166.0,52443.0,51678.0,24850432117.896576,1024019280535.48,1,0.0,time,-0.0062,0.003995241763163956
2024-02-17,52176.0,51685.0,52201.0,50675.0,19851884283.15723,1015778284418.9253,1,0.0,time,-0.0071,-0.009263337657275253
2024-02-18,51657.0,52138.0,52377.0,51215.0,17025880430.565874,1023586119011.2284,1,0.0,time,-0.0252,0.008726445483004169
2024-02-19,52117.0,51764.0,52468.0,51723.0,22555121071.55909,1016146442771.5667,1,0.0,time,-0.0041,-0.007199122544028511
2024-02-20,51784.0,52287.0,52902.0,50953.0,34499627551.319275,1026424315285.75,1,0.0,time,-0.0103,0.010052847248230645
2024-02-21,52230.0,51843.0,52376.0,50706.0,30624246621.0974,1018869881156.3213,1,1.0,upper,0.0496,-0.008527853467689944
2024-02-22,51863.0,51320.0,51992.0,50883.0,23733644208.80861,1007314397269.4122,1,1.0,upper,0.0597,-0.010139380992528705
2024-02-23,51295.0,50841.0,51493.0,50660.0,22637679779.740997,999139504635.63,1,1.0,upper,0.0691,-0.009377424068091266
2024-02-24,50732.0,51553.0,51697.0,50598.0,15528276123.53668,1012485917140.1924,1,1.0,upper,0.0552,0.013907289016592541
2024-02-25,51558.0,51752.0,51918.0,51308.0,15455098216.48263,1016549456019.3263,1,1.0,upper,0.0513,0.00385267404574741
