feature_name,feature_type
bitcoin_close_topo_window_start_idx_x,topological
bitcoin_close_topo_window_end_idx_x,topological
bitcoin_close_topo_tau_used_x,topological
bitcoin_close_topo_num_holes_0_x,topological
bitcoin_close_topo_betti_0_x,topological
bitcoin_close_topo_max_hole_lifetime_0_x,topological
bitcoin_close_topo_avg_hole_lifetime_0_x,topological
bitcoin_close_topo_num_relevant_holes_0_x,topological
bitcoin_close_topo_l1_norm_0_x,topological
bitcoin_close_topo_l2_norm_0_x,topological
bitcoin_close_topo_l3_norm_0_x,topological
bitcoin_close_topo_persistence_entropy_0_x,topological
bitcoin_close_topo_std_persistence_0_x,topological
bitcoin_close_topo_wasserstein_0_x,topological
bitcoin_close_topo_num_holes_1_x,topological
bitcoin_close_topo_betti_1_x,topological
bitcoin_close_topo_max_hole_lifetime_1_x,topological
bitcoin_close_topo_avg_hole_lifetime_1_x,topological
bitcoin_close_topo_num_relevant_holes_1_x,topological
bitcoin_close_topo_l1_norm_1_x,topological
bitcoin_close_topo_l2_norm_1_x,topological
bitcoin_close_topo_l3_norm_1_x,topological
bitcoin_close_topo_persistence_entropy_1_x,topological
bitcoin_close_topo_std_persistence_1_x,topological
bitcoin_close_topo_wasserstein_1_x,topological
bitcoin_close_topo_num_holes_2_x,topological
bitcoin_close_topo_betti_2_x,topological
bitcoin_close_topo_max_hole_lifetime_2_x,topological
bitcoin_close_topo_avg_hole_lifetime_2_x,topological
bitcoin_close_topo_num_relevant_holes_2_x,topological
bitcoin_close_topo_l1_norm_2_x,topological
bitcoin_close_topo_l2_norm_2_x,topological
bitcoin_close_topo_l3_norm_2_x,topological
bitcoin_close_topo_persistence_entropy_2_x,topological
bitcoin_close_topo_std_persistence_2_x,topological
bitcoin_close_topo_wasserstein_2_x,topological
bitcoin_close_topo_num_holes_3_x,topological
bitcoin_close_topo_betti_3_x,topological
bitcoin_close_topo_max_hole_lifetime_3_x,topological
bitcoin_close_topo_avg_hole_lifetime_3_x,topological
bitcoin_close_topo_num_relevant_holes_3_x,topological
bitcoin_close_topo_l1_norm_3_x,topological
bitcoin_close_topo_l2_norm_3_x,topological
bitcoin_close_topo_l3_norm_3_x,topological
bitcoin_close_topo_persistence_entropy_3_x,topological
bitcoin_close_topo_std_persistence_3_x,topological
bitcoin_close_topo_wasserstein_3_x,topological
bitcoin_close_topo_num_holes_0_ma5_x,topological
bitcoin_close_topo_num_holes_0_ma10_x,topological
bitcoin_close_topo_max_hole_lifetime_0_ma5_x,topological
bitcoin_close_topo_avg_hole_lifetime_0_ma5_x,topological
bitcoin_close_topo_num_relevant_holes_0_ma5_x,topological
bitcoin_close_topo_l1_norm_0_ma5_x,topological
bitcoin_close_topo_l1_norm_0_ma10_x,topological
bitcoin_close_topo_persistence_entropy_0_ma5_x,topological
bitcoin_close_topo_num_holes_1_ma5_x,topological
bitcoin_close_topo_num_holes_1_ma10_x,topological
bitcoin_close_topo_max_hole_lifetime_1_ma5_x,topological
bitcoin_close_topo_avg_hole_lifetime_1_ma5_x,topological
bitcoin_close_topo_num_relevant_holes_1_ma5_x,topological
bitcoin_close_topo_l1_norm_1_ma5_x,topological
bitcoin_close_topo_l1_norm_1_ma10_x,topological
bitcoin_close_topo_persistence_entropy_1_ma5_x,topological
bitcoin_close_topo_num_holes_2_ma5_x,topological
bitcoin_close_topo_num_holes_2_ma10_x,topological
bitcoin_close_topo_max_hole_lifetime_2_ma5_x,topological
bitcoin_close_topo_avg_hole_lifetime_2_ma5_x,topological
bitcoin_close_topo_num_relevant_holes_2_ma5_x,topological
bitcoin_close_topo_l1_norm_2_ma5_x,topological
bitcoin_close_topo_l1_norm_2_ma10_x,topological
bitcoin_close_topo_persistence_entropy_2_ma5_x,topological
bitcoin_close_topo_num_holes_3_ma5_x,topological
bitcoin_close_topo_num_holes_3_ma10_x,topological
bitcoin_close_topo_max_hole_lifetime_3_ma5_x,topological
bitcoin_close_topo_avg_hole_lifetime_3_ma5_x,topological
bitcoin_close_topo_num_relevant_holes_3_ma5_x,topological
bitcoin_close_topo_l1_norm_3_ma5_x,topological
bitcoin_close_topo_l1_norm_3_ma10_x,topological
bitcoin_close_topo_persistence_entropy_3_ma5_x,topological
bitcoin_close_topo_window_start_idx_y,topological
bitcoin_close_topo_window_end_idx_y,topological
bitcoin_close_topo_tau_used_y,topological
bitcoin_close_topo_num_holes_0_y,topological
bitcoin_close_topo_betti_0_y,topological
