feature,importance
bitcoin_close_topo_l1_norm_0_ma10_original,4.831801728378995
bitcoin_close_topo_l1_norm_1_ma10_original,3.717302752685763
bitcoin_close_topo_max_hole_lifetime_0_ma5_original,3.68071729756892
bitcoin_close_topo_num_relevant_holes_0_ma5_topo,3.561829218273009
bitcoin_close_topo_wasserstein_0_topo,3.3235276178929714
bitcoin_close_topo_persistence_entropy_0_topo,3.182841061062268
bitcoin_close_topo_max_hole_lifetime_0_ma5_topo,3.1650603433929425
bitcoin_close_topo_persistence_entropy_0_ma5_topo,3.093683607648162
bitcoin_close_topo_persistence_entropy_0_original,3.0744305215392127
bitcoin_close_topo_l1_norm_0_ma10_topo,3.006898869351491
bitcoin_close_topo_persistence_entropy_0_ma5_original,2.8712199298769576
bitcoin_close_topo_window_end_idx_topo,2.788930223238619
bitcoin_close_topo_window_start_idx_original,2.6173767546085402
bitcoin_close_topo_max_hole_lifetime_0_original,2.566120163353507
bitcoin_close_topo_wasserstein_0_original,2.5225827645314967
signal,2.3189934687743756
bitcoin_close_topo_window_start_idx_topo,2.073882479926652
bitcoin_close_topo_window_end_idx_original,2.0377145389278315
bitcoin_close_topo_std_persistence_0_topo,1.8790439713198934
bitcoin_close_topo_max_hole_lifetime_0_topo,1.8732827136806305
bitcoin_close_topo_num_relevant_holes_0_ma5_original,1.8524819403817399
bitcoin_close_topo_l3_norm_0_topo,1.7977563812346586
bitcoin_close_topo_std_persistence_0_original,1.758747238397989
bitcoin_close_topo_l1_norm_1_ma10_topo,1.7475459376092124
bitcoin_close_topo_l2_norm_0_topo,1.717471597581456
bitcoin_close_topo_avg_hole_lifetime_1_ma5_topo,1.6816782420404288
bitcoin_close_topo_wasserstein_1_topo,1.5233062541314255
bitcoin_close_topo_num_holes_1_ma5_original,1.4294566735003795
bitcoin_close_topo_avg_hole_lifetime_0_ma5_topo,1.297671455482449
bitcoin_close_topo_wasserstein_1_original,1.285878868068756
bitcoin_close_topo_avg_hole_lifetime_1_ma5_original,1.2652971292275283
bitcoin_close_topo_avg_hole_lifetime_0_topo,1.260745812401299
bitcoin_close_topo_num_holes_1_ma10_original,1.1842588842673487
bitcoin_close_topo_num_holes_1_ma10_topo,1.0748337473924865
bitcoin_close_topo_persistence_entropy_1_ma5_original,1.040525931087351
bitcoin_close_topo_max_hole_lifetime_1_original,0.9983390272713858
bitcoin_close_topo_l1_norm_0_ma5_topo,0.9692193184352657
bitcoin_close_topo_l1_norm_1_ma5_topo,0.9487191191510125
bitcoin_close_topo_l1_norm_0_original,0.9373895388086986
bitcoin_close_topo_num_relevant_holes_0_original,0.9241006645634
bitcoin_close_topo_l2_norm_0_original,0.9017740784859316
bitcoin_close_topo_num_holes_1_ma5_topo,0.8888947302039469
bitcoin_close_topo_persistence_entropy_1_ma5_topo,0.884985605953411
bitcoin_close_topo_std_persistence_1_original,0.862486641514869
bitcoin_close_topo_max_hole_lifetime_1_ma5_original,0.8042794844776789
bitcoin_close_topo_l1_norm_0_ma5_original,0.775381957607613
bitcoin_close_topo_l3_norm_0_original,0.6745197887820099
bitcoin_close_topo_num_relevant_holes_0_topo,0.6619372289395956
bitcoin_close_topo_avg_hole_lifetime_0_original,0.6598938780186973
bitcoin_close_topo_persistence_entropy_1_original,0.6209856097800706
bitcoin_close_topo_avg_hole_lifetime_1_topo,0.5801751476766737
bitcoin_close_topo_l1_norm_0_topo,0.5623935591211079
bitcoin_close_topo_avg_hole_lifetime_0_ma5_original,0.5575087337490371
bitcoin_close_topo_l2_norm_1_original,0.5494914117135744
bitcoin_close_topo_l1_norm_1_ma5_original,0.5017916023367277
bitcoin_close_topo_l1_norm_1_topo,0.4964947023354946
bitcoin_close_topo_avg_hole_lifetime_1_original,0.46369010058315774
bitcoin_close_topo_l3_norm_1_topo,0.46135765732360595
bitcoin_close_topo_l3_norm_1_original,0.4016624905155152
bitcoin_close_topo_l1_norm_1_original,0.38953110096048654
bitcoin_close_topo_num_holes_1_original,0.3609056884507661
bitcoin_close_topo_persistence_entropy_1_topo,0.3529424804992013
bitcoin_close_topo_max_hole_lifetime_1_ma5_topo,0.35125979786795963
bitcoin_close_topo_std_persistence_1_topo,0.33597219899093766
bitcoin_close_topo_num_relevant_holes_1_ma5_topo,0.3155690330764613
bitcoin_close_topo_l2_norm_1_topo,0.2666237370784189
bitcoin_close_topo_betti_1_topo,0.21938638001024674
bitcoin_close_topo_max_hole_lifetime_1_topo,0.20665892969576422
bitcoin_close_topo_num_relevant_holes_1_ma5_original,0.0066160349864580435
bitcoin_close_topo_num_holes_0_ma5_topo,0.0021664221980897875
bitcoin_close_topo_num_relevant_holes_1_original,0.0
bitcoin_close_topo_tau_used_topo,0.0
bitcoin_close_topo_num_holes_0_ma5_original,0.0
bitcoin_close_topo_num_holes_0_ma10_topo,0.0
bitcoin_close_topo_tau_used_original,0.0
bitcoin_close_topo_num_holes_0_original,0.0
bitcoin_close_topo_num_holes_0_topo,0.0
bitcoin_close_topo_betti_0_original,0.0
bitcoin_close_topo_betti_0_topo,0.0
bitcoin_close_topo_num_holes_0_ma10_original,0.0
bitcoin_close_topo_betti_1_original,0.0
bitcoin_close_topo_num_holes_1_topo,0.0
bitcoin_close_topo_num_relevant_holes_1_topo,0.0
