feature_name,feature_type
bitcoin_close_topo_window_start_idx,topological
bitcoin_close_topo_window_end_idx,topological
bitcoin_close_topo_tau_used,topological
bitcoin_close_topo_num_holes_0,topological
bitcoin_close_topo_betti_0,topological
bitcoin_close_topo_max_hole_lifetime_0,topological
bitcoin_close_topo_avg_hole_lifetime_0,topological
bitcoin_close_topo_num_relevant_holes_0,topological
bitcoin_close_topo_l1_norm_0,topological
bitcoin_close_topo_l2_norm_0,topological
bitcoin_close_topo_l3_norm_0,topological
bitcoin_close_topo_persistence_entropy_0,topological
bitcoin_close_topo_std_persistence_0,topological
bitcoin_close_topo_wasserstein_0,topological
bitcoin_close_topo_num_holes_1,topological
bitcoin_close_topo_betti_1,topological
bitcoin_close_topo_max_hole_lifetime_1,topological
bitcoin_close_topo_avg_hole_lifetime_1,topological
bitcoin_close_topo_num_relevant_holes_1,topological
bitcoin_close_topo_l1_norm_1,topological
bitcoin_close_topo_l2_norm_1,topological
bitcoin_close_topo_l3_norm_1,topological
bitcoin_close_topo_persistence_entropy_1,topological
bitcoin_close_topo_std_persistence_1,topological
bitcoin_close_topo_wasserstein_1,topological
bitcoin_close_topo_num_holes_0_ma5,topological
bitcoin_close_topo_num_holes_0_ma10,topological
bitcoin_close_topo_max_hole_lifetime_0_ma5,topological
bitcoin_close_topo_avg_hole_lifetime_0_ma5,topological
bitcoin_close_topo_num_relevant_holes_0_ma5,topological
bitcoin_close_topo_l1_norm_0_ma5,topological
bitcoin_close_topo_l1_norm_0_ma10,topological
bitcoin_close_topo_persistence_entropy_0_ma5,topological
bitcoin_close_topo_num_holes_1_ma5,topological
bitcoin_close_topo_num_holes_1_ma10,topological
bitcoin_close_topo_max_hole_lifetime_1_ma5,topological
bitcoin_close_topo_avg_hole_lifetime_1_ma5,topological
bitcoin_close_topo_num_relevant_holes_1_ma5,topological
bitcoin_close_topo_l1_norm_1_ma5,topological
bitcoin_close_topo_l1_norm_1_ma10,topological
bitcoin_close_topo_persistence_entropy_1_ma5,topological
signal,signal
