timestamp,signal,label,barrier_touched,days_to_barrier,return_at_barrier
2023-01-01,-1,0.0,time,5.0,0.0205
2023-01-02,-1,0.0,time,5.0,0.0164
2023-01-03,-1,0.0,upper,5.0,0.0235
2023-01-04,-1,0.0,time,5.0,0.02
2023-01-05,-1,0.0,upper,4.0,0.0213
2023-01-06,-1,0.0,upper,4.0,0.0277
2023-01-07,-1,0.0,upper,3.0,0.0283
2023-01-08,-1,0.0,upper,2.0,0.021
2023-01-09,-1,0.0,upper,2.0,0.0456
2023-01-10,-1,0.0,upper,1.0,0.0316
2023-01-11,-1,0.0,upper,1.0,0.0472
2023-01-12,-1,0.0,upper,1.0,0.0554
2023-01-13,-1,0.0,upper,1.0,0.0526
2023-01-14,-1,0.0,time,5.0,0.003
2023-01-15,-1,0.0,upper,5.0,0.0851
2023-01-16,-1,0.0,upper,4.0,0.0698
2023-01-17,-1,0.0,upper,3.0,0.0707
2023-01-18,-1,0.0,upper,2.0,0.0912
2023-01-19,-1,0.0,upper,1.0,0.0742
2023-01-20,-1,0.0,time,5.0,0.0207
2023-01-21,-1,0.0,time,5.0,0.0111
2023-01-22,-1,0.0,time,5.0,0.0151
2023-01-23,-1,0.0,time,5.0,0.0016
2023-01-24,-1,0.0,time,5.0,0.0512
2023-01-25,-1,1.0,time,5.0,-0.0148
2023-01-26,-1,0.0,time,5.0,0.0049
2023-01-27,-1,0.0,time,5.0,0.0274
2023-01-28,-1,0.0,time,5.0,0.0223
2023-01-29,-1,1.0,time,5.0,-0.0146
2023-01-30,-1,0.0,time,5.0,0.0217
2023-01-31,-1,1.0,time,5.0,-0.0083
2023-02-01,-1,1.0,time,5.0,-0.0404
2023-02-02,-1,1.0,time,5.0,-0.0105
2023-02-03,-1,1.0,time,5.0,-0.0217
2023-02-04,-1,1.0,lower,5.0,-0.0673
2023-02-05,-1,1.0,lower,4.0,-0.0503
2023-02-06,-1,1.0,lower,3.0,-0.0433
2023-02-07,-1,1.0,lower,2.0,-0.0654
2023-02-08,-1,1.0,lower,1.0,-0.0504
2023-02-09,-1,0.0,time,5.0,0.0181
2023-02-10,-1,0.0,upper,5.0,0.1167
2023-02-11,1,1.0,upper,4.0,0.1048
2023-02-12,1,1.0,upper,3.0,0.1098
2023-02-13,1,1.0,upper,2.0,0.1085
2023-02-14,1,1.0,upper,1.0,0.0898
2023-02-15,1,1.0,time,5.0,0.0195
2023-02-16,1,1.0,time,5.0,0.0274
2023-02-17,1,0.0,time,5.0,-0.0198
2023-02-18,1,0.0,time,5.0,-0.0285
2023-02-19,1,0.0,time,5.0,-0.0469
2023-02-20,1,0.0,lower,4.0,-0.0674
2023-02-21,1,0.0,time,5.0,-0.0365
2023-02-22,1,0.0,time,5.0,-0.0264
2023-02-23,1,0.0,time,5.0,-0.0338
2023-02-24,1,1.0,time,5.0,0.0197
2023-02-25,1,1.0,time,5.0,0.0132
2023-02-26,1,0.0,lower,5.0,-0.0512
2023-02-27,1,0.0,lower,4.0,-0.0502
2023-02-28,1,0.0,time,5.0,-0.0322
2023-03-01,1,0.0,lower,2.0,-0.0551
2023-03-02,1,0.0,lower,1.0,-0.0479
2023-03-03,1,0.0,time,5.0,-0.0297
2023-03-04,1,0.0,lower,5.0,-0.0924
2023-03-05,1,0.0,lower,4.0,-0.0957
2023-03-06,1,0.0,lower,3.0,-0.0954
2023-03-07,1,0.0,lower,2.0,-0.0865
2023-03-08,1,0.0,lower,1.0,-0.0636
2023-03-09,1,1.0,upper,3.0,0.081
2023-03-10,1,1.0,upper,2.0,0.09
2023-03-11,1,1.0,upper,1.0,0.0739
2023-03-12,1,1.0,upper,1.0,0.0901
2023-03-13,1,1.0,upper,4.0,0.1275
2023-03-14,1,1.0,upper,3.0,0.1038
2023-03-15,1,1.0,upper,2.0,0.1155
2023-03-16,1,1.0,upper,1.0,0.0877
2023-03-17,1,0.0,time,5.0,-0.0007
2023-03-18,-1,0.0,time,5.0,0.0487
2023-03-19,-1,1.0,time,5.0,-0.0212
2023-03-20,-1,1.0,time,5.0,-0.0093
2023-03-21,-1,1.0,time,5.0,-0.0077
2023-03-22,-1,1.0,time,5.0,-0.0098
2023-03-23,-1,1.0,time,5.0,-0.0419
2023-03-24,-1,0.0,time,5.0,0.0286
2023-03-25,-1,0.0,time,5.0,0.0133
2023-03-26,-1,0.0,time,5.0,0.0166
2023-03-27,-1,0.0,time,5.0,0.0473
2023-03-28,-1,0.0,time,5.0,0.0341
2023-03-29,-1,1.0,time,5.0,-0.0206
2023-03-30,-1,0.0,time,5.0,0.0048
2023-03-31,-1,1.0,time,5.0,-0.0113
2023-04-01,-1,1.0,time,5.0,-0.0161
2023-04-02,-1,1.0,time,5.0,-0.0108
2023-04-03,-1,0.0,time,5.0,0.0055
2023-04-04,-1,0.0,time,5.0,0.0062
2023-04-05,-1,0.0,upper,5.0,0.0505
2023-04-06,-1,0.0,upper,4.0,0.056
2023-04-07,-1,0.0,upper,3.0,0.0599
2023-04-08,-1,0.0,upper,2.0,0.0587
2023-04-09,-1,0.0,upper,1.0,0.0451
2023-04-10,-1,0.0,time,5.0,0.0218
2023-04-11,-1,0.0,time,5.0,0.0015
2023-04-12,-1,1.0,time,5.0,-0.0147
2023-04-13,-1,1.0,time,5.0,-0.0013
2023-04-14,-1,1.0,lower,5.0,-0.0552
2023-04-15,-1,1.0,lower,4.0,-0.05
2023-04-16,-1,1.0,lower,3.0,-0.0498
2023-04-17,-1,1.0,lower,3.0,-0.042
2023-04-18,-1,1.0,lower,1.0,-0.0518
2023-04-19,-1,1.0,lower,2.0,-0.0546
2023-04-20,-1,0.0,time,5.0,0.0034
2023-04-21,-1,0.0,time,5.0,0.0378
2023-04-22,-1,0.0,upper,5.0,0.0566
2023-04-23,-1,0.0,upper,4.0,0.0658
2023-04-24,-1,0.0,upper,3.0,0.0692
2023-04-25,-1,0.0,time,5.0,0.035
2023-04-26,-1,1.0,time,5.0,-0.008
2023-04-27,-1,1.0,time,5.0,-0.0286
2023-04-28,-1,1.0,time,5.0,-0.0121
2023-04-29,-1,1.0,time,5.0,-0.0128
2023-04-30,-1,0.0,time,5.0,0.0054
2023-05-01,-1,0.0,time,5.0,0.0267
2023-05-02,-1,1.0,time,5.0,-0.0015
