timestamp,signal,label,barrier_touched,days_to_barrier,return_at_barrier
2018-01-01,-1,0.0,upper,4.0,0.2632
2018-01-02,-1,0.0,upper,3.0,0.1796
2018-01-03,-1,0.0,upper,2.0,0.1627
2018-01-04,-1,1.0,time,5.0,-0.0235
2018-01-05,-1,1.0,lower,5.0,-0.1675
2018-01-06,-1,1.0,lower,3.0,-0.1617
2018-01-07,-1,1.0,lower,4.0,-0.1929
2018-01-08,-1,1.0,time,5.0,-0.0455
2018-01-09,-1,1.0,time,5.0,-0.075
2018-01-10,-1,1.0,time,5.0,-0.0734
2018-01-11,-1,1.0,lower,5.0,-0.181
2018-01-12,-1,1.0,lower,4.0,-0.2302
2018-01-13,-1,1.0,lower,3.0,-0.2592
2018-01-14,-1,1.0,lower,2.0,-0.2109
2018-01-15,-1,1.0,lower,1.0,-0.2064
2018-01-16,-1,1.0,time,5.0,-0.0017
2018-01-17,-1,1.0,time,5.0,-0.0378
2018-01-18,1,0.0,time,5.0,-0.0602
2018-01-19,1,0.0,time,5.0,-0.0418
2018-01-20,1,0.0,lower,2.0,-0.1876
2018-01-21,1,0.0,time,5.0,-0.0579
2018-01-22,1,1.0,time,5.0,0.0414
2018-01-23,1,1.0,time,5.0,0.0684
2018-01-24,1,0.0,time,5.0,-0.0106
2018-01-25,1,0.0,time,5.0,-0.0117
2018-01-26,1,0.0,time,5.0,-0.1004
2018-01-27,1,0.0,time,5.0,-0.1246
2018-01-28,1,0.0,lower,3.0,-0.1551
2018-01-29,1,0.0,lower,4.0,-0.2071
2018-01-30,1,0.0,lower,3.0,-0.2015
2018-01-31,1,0.0,lower,5.0,-0.1834
2018-02-01,1,0.0,lower,2.0,-0.1358
2018-02-02,1,0.0,lower,4.0,-0.2805
2018-02-03,1,0.0,lower,3.0,-0.2536
2018-02-04,1,0.0,lower,2.0,-0.2721
2018-02-05,1,0.0,lower,1.0,-0.1936
2018-02-06,1,1.0,upper,3.0,0.2356
2018-02-07,1,1.0,time,5.0,0.1372
2018-02-08,1,1.0,time,5.0,0.114
2018-02-09,1,1.0,time,5.0,0.0858
2018-02-10,1,1.0,time,5.0,0.1657
2018-02-11,1,1.0,upper,4.0,0.2288
2018-02-12,1,1.0,upper,5.0,0.2208
2018-02-13,1,1.0,upper,2.0,0.1726
2018-02-14,1,1.0,time,5.0,0.1635
2018-02-15,1,1.0,time,5.0,0.1125
2018-02-16,1,1.0,time,5.0,0.0457
2018-02-17,1,0.0,time,5.0,-0.1007
2018-02-18,1,0.0,time,5.0,-0.0207
2018-02-19,1,0.0,time,5.0,-0.1263
2018-02-20,1,0.0,lower,4.0,-0.1457
2018-02-21,1,0.0,time,5.0,-0.0347
2018-02-22,1,1.0,time,5.0,0.0655
2018-02-23,1,1.0,time,5.0,0.0028
2018-02-24,1,1.0,time,5.0,0.101
2018-02-25,1,1.0,upper,5.0,0.1395
2018-02-26,1,1.0,time,5.0,0.1047
2018-02-27,1,1.0,time,5.0,0.0628
2018-02-28,1,1.0,time,5.0,0.1063
2018-03-01,1,0.0,time,5.0,-0.0082
2018-03-02,1,0.0,time,5.0,-0.1031
2018-03-03,1,0.0,lower,4.0,-0.1348
2018-03-04,1,0.0,lower,3.0,-0.1286
2018-03-05,1,0.0,lower,2.0,-0.142
2018-03-06,1,0.0,lower,2.0,-0.1311
2018-03-07,1,0.0,lower,3.0,-0.1125
2018-03-08,1,0.0,time,5.0,-0.0254
2018-03-09,1,0.0,lower,5.0,-0.1208
2018-03-10,1,0.0,time,5.0,-0.0689
2018-03-11,1,0.0,lower,3.0,-0.1374
2018-03-12,1,0.0,lower,2.0,-0.105
2018-03-13,1,0.0,lower,1.0,-0.1011
2018-03-14,1,1.0,time,5.0,0.0381
2018-03-15,1,1.0,time,5.0,0.0708
2018-03-16,1,1.0,time,5.0,0.0712
2018-03-17,1,1.0,upper,3.0,0.1196
2018-03-18,1,1.0,time,5.0,0.0712
2018-03-19,1,0.0,time,5.0,-0.0022
2018-03-20,1,0.0,time,5.0,-0.0515
2018-03-21,1,0.0,time,5.0,-0.0915
2018-03-22,1,0.0,lower,5.0,-0.1087
2018-03-23,1,0.0,lower,4.0,-0.1187
2018-03-24,1,0.0,lower,3.0,-0.0954
2018-03-25,1,0.0,lower,4.0,-0.1737
2018-03-26,1,0.0,lower,3.0,-0.1386
2018-03-27,1,0.0,lower,2.0,-0.0949
2018-03-28,1,0.0,lower,1.0,-0.1069
2018-03-29,1,1.0,time,5.0,0.0463
2018-03-30,1,0.0,time,5.0,-0.0076
2018-03-31,1,0.0,time,5.0,-0.0173
2018-04-01,1,1.0,upper,2.0,0.0879
2018-04-02,1,0.0,time,5.0,-0.0281
2018-04-03,1,0.0,lower,3.0,-0.1187
2018-04-04,1,0.0,time,5.0,-0.0098
2018-04-05,1,0.0,time,5.0,-0.0038
2018-04-06,1,1.0,time,5.0,0.0437
2018-04-07,1,1.0,upper,5.0,0.1295
2018-04-08,1,1.0,upper,4.0,0.115
2018-04-09,1,1.0,upper,3.0,0.145
2018-04-10,1,1.0,upper,2.0,0.1376
2018-04-11,1,1.0,upper,1.0,0.1236
2018-04-12,1,1.0,time,5.0,0.0047
2018-04-13,1,1.0,time,5.0,0.0316
2018-04-14,1,1.0,time,5.0,0.047
2018-04-15,1,1.0,time,5.0,0.0288
2018-04-16,-1,0.0,upper,5.0,0.1003
