timestamp,signal,label,barrier_touched,days_to_barrier,return_at_barrier
2022-01-01,1,0.0,lower,4.0,-0.0912
2022-01-02,1,0.0,lower,3.0,-0.0822
2022-01-03,1,0.0,lower,2.0,-0.064
2022-01-04,1,0.0,lower,2.0,-0.0611
2022-01-05,1,0.0,time,5.0,-0.0416
2022-01-06,1,0.0,time,5.0,-0.0102
2022-01-07,1,1.0,upper,5.0,0.0574
2022-01-08,1,1.0,time,5.0,0.0202
2022-01-09,1,1.0,time,5.0,0.0296
2022-01-10,1,1.0,upper,2.0,0.0492
2022-01-11,1,1.0,time,5.0,0.008
2022-01-12,1,0.0,time,5.0,-0.039
2022-01-13,1,0.0,time,5.0,-0.005
2022-01-14,1,0.0,time,5.0,-0.0323
2022-01-15,1,0.0,lower,5.0,-0.06
2022-01-16,1,0.0,lower,4.0,-0.0576
2022-01-17,1,0.0,lower,4.0,-0.1472
2022-01-18,1,0.0,lower,3.0,-0.1495
2022-01-19,1,0.0,lower,2.0,-0.1341
2022-01-20,1,0.0,lower,1.0,-0.1089
2022-01-21,1,1.0,time,5.0,0.0098
2022-01-22,1,1.0,time,5.0,0.0579
2022-01-23,1,1.0,time,5.0,0.0417
2022-01-24,1,1.0,time,5.0,0.0389
2022-01-25,1,1.0,time,5.0,0.0265
2022-01-26,1,1.0,time,5.0,0.0447
2022-01-27,1,1.0,time,5.0,0.041
2022-01-28,1,0.0,time,5.0,-0.0228
2022-01-29,1,0.0,time,5.0,-0.03
2022-01-30,1,1.0,upper,5.0,0.0927
2022-01-31,1,1.0,upper,4.0,0.0778
2022-02-01,1,1.0,upper,3.0,0.0705
2022-02-02,1,1.0,upper,2.0,0.1189
2022-02-03,1,1.0,upper,1.0,0.1162
2022-02-04,1,1.0,time,5.0,0.063
2022-02-05,1,1.0,time,5.0,0.0502
2022-02-06,1,0.0,time,5.0,-0.0007
2022-02-07,1,0.0,time,5.0,-0.0384
2022-02-08,1,0.0,time,5.0,-0.0448
2022-02-09,-1,1.0,time,5.0,-0.0402
2022-02-10,-1,0.0,time,5.0,0.0215
2022-02-11,-1,0.0,time,5.0,0.0374
2022-02-12,-1,1.0,time,5.0,-0.0409
2022-02-13,-1,1.0,time,5.0,-0.0529
2022-02-14,-1,1.0,lower,4.0,-0.062
2022-02-15,-1,1.0,lower,2.0,-0.0943
2022-02-16,-1,1.0,lower,1.0,-0.0828
2022-02-17,-1,1.0,lower,4.0,-0.0903
2022-02-18,-1,1.0,lower,3.0,-0.0782
2022-02-19,-1,1.0,lower,2.0,-0.0812
2022-02-20,-1,0.0,time,5.0,0.0206
2022-02-21,-1,0.0,time,5.0,0.0533
2022-02-22,-1,1.0,time,5.0,-0.014
2022-02-23,-1,0.0,upper,5.0,0.1455
2022-02-24,-1,0.0,upper,4.0,0.1193
2022-02-25,-1,0.0,upper,3.0,0.0948
2022-02-26,-1,0.0,upper,2.0,0.1006
2022-02-27,-1,0.0,upper,1.0,0.134
2022-02-28,-1,1.0,time,5.0,-0.0911
2022-03-01,-1,1.0,lower,3.0,-0.1259
2022-03-02,-1,1.0,lower,2.0,-0.1151
2022-03-03,-1,1.0,lower,3.0,-0.1001
2022-03-04,-1,0.0,time,5.0,0.0687
2022-03-05,-1,0.0,time,5.0,0.0001
2022-03-06,-1,0.0,time,5.0,0.0086
2022-03-07,-1,0.0,upper,2.0,0.0978
2022-03-08,-1,1.0,time,5.0,-0.023
2022-03-09,-1,1.0,lower,4.0,-0.1036
2022-03-10,-1,1.0,time,5.0,-0.0035
2022-03-11,-1,0.0,time,5.0,0.0598
2022-03-12,-1,0.0,time,5.0,0.0525
2022-03-13,-1,0.0,upper,5.0,0.1001
2022-03-14,-1,0.0,time,5.0,0.0619
2022-03-15,-1,0.0,time,5.0,0.0484
2022-03-16,-1,1.0,time,5.0,-0.0025
2022-03-17,-1,0.0,time,5.0,0.0336
2022-03-18,-1,0.0,time,5.0,0.0228
2022-03-19,-1,0.0,time,5.0,0.0403
2022-03-20,-1,0.0,time,5.0,0.0713
2022-03-21,-1,0.0,upper,4.0,0.0766
2022-03-22,-1,0.0,upper,5.0,0.0969
2022-03-23,-1,0.0,upper,4.0,0.0875
2022-03-24,-1,0.0,upper,4.0,0.0673
2022-03-25,-1,0.0,upper,4.0,0.0682
2022-03-26,-1,0.0,upper,3.0,0.0641
2022-03-27,-1,1.0,time,5.0,-0.0096
2022-03-28,-1,1.0,time,5.0,-0.0248
2022-03-29,-1,1.0,time,5.0,-0.0218
2022-03-30,-1,1.0,time,5.0,-0.0094
2022-03-31,-1,0.0,time,5.0,0.0023
2022-04-01,-1,1.0,lower,5.0,-0.0687
2022-04-02,-1,1.0,lower,4.0,-0.0594
2022-04-03,-1,1.0,lower,3.0,-0.0722
2022-04-04,-1,1.0,lower,2.0,-0.0763
2022-04-05,-1,1.0,lower,1.0,-0.0549
2022-04-06,-1,1.0,lower,5.0,-0.0869
2022-04-07,-1,1.0,lower,4.0,-0.0942
2022-04-08,-1,1.0,lower,3.0,-0.0662
2022-04-09,-1,1.0,lower,2.0,-0.0775
2022-04-10,-1,1.0,lower,1.0,-0.0653
2022-04-11,-1,0.0,time,5.0,0.0211
2022-04-12,1,0.0,time,5.0,-0.0117
2022-04-13,1,0.0,time,5.0,-0.009
2022-04-14,1,1.0,time,5.0,0.0378
2022-04-15,1,1.0,time,5.0,0.0198
2022-04-16,1,1.0,time,5.0,0.002
2022-04-17,1,1.0,time,5.0,0.0005
2022-04-18,1,0.0,time,5.0,-0.0316
2022-04-19,1,0.0,time,5.0,-0.0457
2022-04-20,1,0.0,time,5.0,-0.0316
2022-04-21,1,0.0,lower,5.0,-0.0597
2022-04-22,1,0.0,time,5.0,-0.0297
2022-04-23,1,0.0,time,5.0,-0.0059
2022-04-24,1,0.0,time,5.0,-0.0347
2022-04-25,1,0.0,lower,1.0,-0.0494
2022-04-26,1,0.0,time,5.0,-0.0008
2022-04-27,1,0.0,time,5.0,-0.0146
2022-04-28,1,0.0,lower,5.0,-0.0546
2022-04-29,1,1.0,time,5.0,0.0293
2022-04-30,1,0.0,lower,5.0,-0.0632
2022-05-01,1,0.0,lower,4.0,-0.0598
2022-05-02,1,0.0,lower,3.0,-0.0568
2022-05-03,1,1.0,upper,1.0,0.0571
2022-05-04,1,0.0,lower,1.0,-0.0928
2022-05-05,1,0.0,lower,4.0,-0.1415
2022-05-06,1,0.0,lower,3.0,-0.141
2022-05-07,1,0.0,lower,2.0,-0.1257
2022-05-08,1,0.0,lower,1.0,-0.0829
2022-05-09,1,0.0,lower,2.0,-0.0996
2022-05-10,1,0.0,lower,1.0,-0.0838
2022-05-11,1,1.0,upper,4.0,0.0972
2022-05-12,1,1.0,time,5.0,0.0334
2022-05-13,1,0.0,time,5.0,-0.0288
2022-05-14,1,1.0,time,5.0,0.0073
2022-05-15,1,0.0,time,5.0,-0.0653
2022-05-16,1,0.0,time,5.0,-0.013
2022-05-17,1,1.0,time,5.0,0.0074
2022-05-18,1,1.0,time,5.0,0.0312
2022-05-19,1,0.0,time,5.0,-0.0186
2022-05-20,1,1.0,time,5.0,0.0066
2022-05-21,1,0.0,time,5.0,-0.0226
2022-05-22,1,0.0,time,5.0,-0.0368
2022-05-24,1,0.0,time,5.0,-0.0055
2022-05-25,1,1.0,upper,5.0,0.0703
2022-05-26,1,1.0,upper,4.0,0.0784
2022-05-27,1,1.0,upper,3.0,0.1026
2022-05-28,1,1.0,upper,2.0,0.0873
2022-05-29,1,1.0,upper,1.0,0.0735
2022-05-30,1,0.0,time,5.0,-0.0607
2022-05-31,1,0.0,time,5.0,-0.0631
2022-06-01,-1,0.0,time,5.0,0.0503
2022-06-02,-1,0.0,time,5.0,0.0254
2022-06-03,-1,0.0,time,5.0,0.0172
2022-06-04,-1,0.0,time,5.0,0.0076
2022-06-05,-1,1.0,time,5.0,-0.0277
2022-06-06,-1,1.0,lower,4.0,-0.0752
2022-06-07,-1,1.0,lower,3.0,-0.0717
2022-06-08,-1,1.0,lower,4.0,-0.1216
2022-06-09,-1,1.0,lower,3.0,-0.1174
2022-06-10,-1,1.0,lower,2.0,-0.0836
2022-06-11,-1,1.0,lower,2.0,-0.2308
2022-06-12,-1,1.0,lower,1.0,-0.1725
