timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,hilo_high_ma,hilo_low_ma,signal,enter_long,enter_short,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2023-01-06,16831.56,16960.23,17021.29,16710.14,19046576249.728558,326571439011.6566,0.007583413990267725,16797.23,16626.503999999997,1,True,False,-0.001,1,0.001,0.0,,,,,
2023-01-07,16957.16,16950.86,16987.41,16914.33,9594456673.448975,326371741274.41095,-0.0005526215900731804,16877.146,16666.112,1,False,False,-0.0005526215900731804,0,0.0,-0.0005526215900731804,,,,,
2023-01-08,16952.25,17074.62,17074.62,16923.76,11841041542.993702,328470896861.37854,0.007274580448309574,16922.686,16738.018,1,False,False,0.007274580448309574,0,0.0,0.007274580448309574,,,,,
2023-01-09,17144.93,17194.91,17390.34,17119.13,25532751567.198166,331158152699.25574,0.007020259340063204,16985.766,16797.739999999998,1,False,False,0.007020259340063204,0,0.0,0.007020259340063204,,,,,
2023-01-10,17191.95,17436.9,17489.9,17180.42,21858206845.29233,335743942932.3494,0.01397524059658704,17069.239999999998,16889.859999999997,1,False,False,0.01397524059658704,0,0.0,0.01397524059658704,,,,,
2023-01-11,17440.38,17996.83,17996.83,17339.76,25439279072.98185,345688973386.69006,0.03160698088822655,17192.712000000003,16969.556,1,False,False,0.03160698088822655,0,0.0,0.03160698088822655,,,,,
2023-01-12,17987.02,18866.81,18989.18,17912.99,48025109150.17737,363381125082.7658,0.04720866240964302,17387.82,17095.480000000003,1,False,False,0.04720866240964302,0,0.0,0.04720866240964302,,,,,
2023-01-13,18865.26,19941.78,19980.93,18769.89,39514419053.17687,382675302196.4898,0.055412734667655054,17788.174,17295.212,1,False,False,0.055412734667655054,0,0.0,0.055412734667655054,,,,,
2023-01-14,19935.7,21019.0,21095.0,19935.7,49498711311.53301,405209898132.0056,0.052609762224873756,18369.436,17664.438000000002,1,False,False,0.052609762224873756,0,0.0,0.052609762224873756,,,,,
2023-01-15,20923.0,20853.0,21094.0,20586.0,23072133987.553684,401697403586.5178,-0.007928967791384372,19110.368000000002,18227.752,1,False,False,-0.007928967791384372,0,0.0,-0.007928967791384372,,,,,
