timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-01-01,46381.0,47816.0,48146.0,46379.0,18904585811.03402,904551946917.3206,,,,,,
2022-01-02,47807.0,47387.0,48012.0,46757.0,33756128241.98571,897536090320.9355,-0.009012382040889307,,,,,
2022-01-03,47371.0,46531.0,47568.0,45811.0,21890019531.577713,880330191985.1965,-0.018229172344592565,,,,,
2022-01-04,46538.0,45938.0,47575.0,45725.0,24895990583.663242,876242689666.1957,-0.012826095868908363,,,,,
2022-01-05,45873.0,43647.0,47081.0,42467.0,31837641246.01787,827723202715.1049,-0.05115810986620147,,,,,
2022-01-06,43526.0,43216.0,43929.0,42604.0,26366602396.811768,819522879407.0583,-0.009923754351101606,,,,,
2022-01-07,43201.0,41527.0,43201.0,40685.0,79685254648.07628,787735561341.1113,-0.03986697895396469,,,,,
2022-01-08,41532.0,41757.0,42702.0,40617.0,23337017232.770664,792892599975.9554,0.005523283817078168,,,,,
2022-01-09,41670.0,41862.0,42894.0,41421.0,18016718173.608612,791648558214.5575,0.0025113922717813755,,,,,
2022-01-10,41888.0,41870.0,42415.0,39692.0,27984634062.049942,792407724467.5966,0.00019108584589743027,,,,,
2022-01-11,41891.0,42777.0,43223.0,41383.0,22813557397.82151,809621515508.4065,0.021430994937039823,1.0,time,5.0,0.008,0.0222
2022-01-12,42811.0,43982.0,44288.0,42544.0,28250302540.221024,832460077955.3481,0.027779884340564314,0.0,time,5.0,-0.039,0.0243
2022-01-13,43946.0,42608.0,44391.0,42388.0,43905745871.292786,806510860231.8285,-0.031738430237079666,0.0,time,5.0,-0.005,0.0248
2022-01-14,42563.0,43121.0,43495.0,41794.0,20238314434.86153,816129314317.4397,0.011968088354875632,0.0,time,5.0,-0.0323,0.024
2022-01-15,43192.0,43227.0,43803.0,42586.0,14651008624.734596,816800318526.6782,0.002455182592454678,0.0,lower,5.0,-0.06,0.0225
2022-01-16,43173.0,43120.0,43570.0,42739.0,14452346388.550371,816325578941.135,-0.0024783734181649942,0.0,lower,4.0,-0.0576,0.021
