timestamp,bitcoin_open,bitcoin_close,bitcoin_high,bitcoin_low,bitcoin_total_volume,bitcoin_market_cap,bitcoin_log_return_1,ma,std,banda_superior,banda_inferior,signal,strategy_returns,position_change,transaction_cost,strategy_returns_gross,label,barrier_touched,days_to_barrier,return_at_barrier,volatility
2022-01-20,41752.0,40708.0,43508.0,40708.0,20930163211.171124,774235809673.4731,-0.025274817967179373,43376.85,2004.9147317477,47386.6794634954,39367.0205365046,0,-0.0,0,0.0,-0.0,,,,,
2022-01-21,40667.0,36509.0,41179.0,35762.0,38296960033.31628,692855029162.9379,-0.10886582779347702,42811.5,2264.6351745224265,47340.770349044855,38282.229650955145,1,-0.001,1,0.001,-0.0,,,,,
2022-01-22,36385.0,35180.0,36801.0,34020.0,35517336417.257744,666220701468.4846,-0.03708106622679605,42201.15,2588.404574148659,47377.95914829732,37024.340851702684,1,-0.03708106622679605,0,0.0,-0.03708106622679605,,,,,
2022-01-23,35219.0,36306.0,36706.0,34805.0,22865032968.608204,687575973800.0704,0.03150527755882725,41689.9,2695.752875992358,47081.40575198472,36298.394248015284,1,0.03150527755882725,0,0.0,0.03150527755882725,,,,,
2022-01-24,36265.0,36774.0,37476.0,33065.0,36385158448.60688,696465421899.37,0.012808056863410392,41231.7,2714.4386082383144,46660.577216476624,35802.82278352337,1,0.012808056863410392,0,0.0,0.012808056863410392,,,,,
2022-01-25,36675.0,36989.0,37542.0,35707.0,46168918584.85349,700571452648.8236,0.00582949741367499,40898.8,2809.249227294128,46517.29845458826,35280.30154541175,1,0.00582949741367499,0,0.0,0.00582949741367499,,,,,
2022-01-26,36955.0,36870.0,39216.0,36355.0,26756873749.744743,700165819656.2855,-0.0032223588992716396,40581.5,2890.9474953815156,46363.39499076303,34799.60500923697,1,-0.0032223588992716396,0,0.0,-0.0032223588992716396,,,,,
2022-01-27,36886.0,37277.0,37277.0,35580.0,22057410457.280827,702311456032.8538,0.01097830223027956,40369.0,2972.8295576684836,46314.659115336966,34423.340884663034,1,0.01097830223027956,0,0.0,0.01097830223027956,,,,,
2022-01-28,37367.0,37853.0,38022.0,36244.0,19214103304.052933,717026944842.8334,0.015333722503979153,40173.8,3004.8929151600346,46183.58583032007,34164.01416967993,1,0.015333722503979153,0,0.0,0.015333722503979153,,,,,
2022-01-29,37782.0,38232.0,38782.0,37422.0,14178650231.62196,722829009646.1814,0.009962624295545223,39992.3,3007.1841191247026,46006.66823824941,33977.931761750595,1,0.009962624295545223,0,0.0,0.009962624295545223,,,,,
2022-01-30,38254.0,37983.0,38386.0,37504.0,11807185113.633108,719570142321.8397,-0.006534170069631306,39797.95,3005.048917633196,45808.04783526639,33787.8521647336,1,-0.006534170069631306,0,0.0,-0.006534170069631306,1.0,upper,5.0,0.0927,0.0329
2022-01-31,37995.0,38556.0,38715.0,36832.0,17731563487.283978,727905398095.9747,0.014973038715495796,39586.9,2932.1531499457633,45451.20629989153,33722.593700108475,1,0.014973038715495796,0,0.0,0.014973038715495796,1.0,upper,4.0,0.0778,0.031
2022-02-01,38430.0,38836.0,39138.0,38196.0,17109120250.158987,736102274236.6057,0.00723592158617684,39329.6,2746.057468636199,44821.714937272394,33837.4850627276,1,0.00723592158617684,0,0.0,0.00723592158617684,1.0,upper,3.0,0.0705,0.0288
2022-02-02,38801.0,37001.0,38900.0,36849.0,16709908527.231106,700645616423.8325,-0.048402712201870486,39049.25,2679.1431245043555,44407.536249008714,33690.963750991286,1,-0.048402712201870486,0,0.0,-0.048402712201870486,1.0,upper,2.0,0.1189,0.032
2022-02-03,37052.0,37101.0,37180.0,36415.0,16136299994.837618,703003347951.7092,0.0026989841220017353,38748.25,2531.723562589018,43811.697125178034,33684.802874821966,1,0.0026989841220017353,0,0.0,0.0026989841220017353,1.0,upper,1.0,0.1162,0.03
2022-02-04,37282.0,41674.0,41674.0,37128.0,25347215343.882504,777355085535.6107,0.11623350971997881,38670.6,2407.9154645067038,43486.430929013404,33854.76907098659,1,0.11623350971997881,0,0.0,0.11623350971997881,1.0,time,5.0,0.063,0.0498
2022-02-05,41617.0,41494.0,41957.0,41191.0,16752051696.248552,786295053042.2418,-0.004328594677060671,38589.3,2273.477676901277,43136.25535380255,34042.34464619745,1,-0.004328594677060671,0,0.0,-0.004328594677060671,1.0,time,5.0,0.0502,0.0469
2022-02-06,41518.0,42476.0,42526.0,41387.0,13206494654.908047,804942041477.0581,0.02339037207065127,38598.2,2289.05532342148,43176.310646842954,34020.08935315704,1,0.02339037207065127,0,0.0,0.02339037207065127,0.0,time,5.0,-0.0007,0.0443
2022-02-07,42413.0,43911.0,44476.0,41788.0,24171856714.475758,833392518214.8341,0.033225647628320386,38674.0,2441.429175923938,43556.85835184788,33791.14164815212,-1,0.032225647628320385,1,0.001,0.033225647628320386,0.0,time,5.0,-0.0384,0.0423
2022-02-08,43978.0,44184.0,45302.0,42901.0,29024977264.932137,837406846076.2306,0.006197874428966801,38795.7,2654.2226357259506,44104.1452714519,33487.2547285481,-1,-0.006197874428966801,0,0.0,-0.006197874428966801,0.0,time,5.0,-0.0448,0.0399
2022-02-09,44166.0,44384.0,44758.0,43309.0,19780565063.098923,841339973338.8694,0.004516311533534641,38979.5,2908.6949053882554,44796.88981077651,33162.11018922349,-1,-0.004516311533534641,0,0.0,-0.004516311533534641,0.0,time,5.0,-0.0402,0.0377
