Data,BTC,ETH,SOL,MKR,LINK,RUNE,STX,IMX,UNI,PENDLE,AAVE,VISTA,MORPHO,ENA,VIRTUAL,ONDO,YNE,USDT,TAO,CRV,RENDER,SUI,FET,ETHFI,HYPE,SEI,LQTY,AERO,SYRUP,PAXG,ZEC
2024-07-30,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-07-31,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-01,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-02,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-03,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-04,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-05,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-06,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-07,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-08,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-09,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-10,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-11,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-12,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-13,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-14,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-15,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-16,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-17,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024-08-18,50.00%,15.00%,15.00%,3.00%,3.00%,3.00%,3.00%,3.00%,2.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
