Data,ETH,USDT,MKR,SNX,AAVE,UNI,ETHDYDX,ATOM,SCRT,SAND,HNT,MATIC,NEAR,MANA,CRV,GMX,OP,GALA,FLOW,LDO,FXS,NMR,GNS,INJ,ARB,PENDLE,RDNT,SOL,LINK,AVAX,KUJI,PRIME,AKT,RENDER,BEAM,MUBI,ONDO,ETHFI,AERO,MORPHO,VIRTUAL,ENA,DEEP,RAY,SYRUP,EUL,WELL,AIOZ,ZBCN,LQTY,ZEC
2022-09-29,15.00%,0.00%,2.50%,2.50%,5.00%,10.00%,5.00%,7.50%,2.50%,5.00%,5.00%,12.50%,2.50%,5.00%,5.00%,5.00%,5.00%,2.50%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-09-30,15.00%,0.00%,2.50%,2.50%,5.00%,10.00%,5.00%,7.50%,2.50%,5.00%,5.00%,12.50%,2.50%,5.00%,5.00%,5.00%,5.00%,2.50%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-10-01,15.00%,0.00%,2.50%,2.50%,5.00%,10.00%,5.00%,7.50%,2.50%,5.00%,5.00%,12.50%,2.50%,5.00%,5.00%,5.00%,5.00%,2.50%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-10-02,15.00%,0.00%,2.50%,2.50%,5.00%,10.00%,5.00%,7.50%,2.50%,5.00%,5.00%,12.50%,2.50%,5.00%,5.00%,5.00%,5.00%,2.50%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-10-03,15.00%,0.00%,2.50%,2.50%,5.00%,10.00%,5.00%,7.50%,2.50%,5.00%,5.00%,12.50%,2.50%,5.00%,5.00%,5.00%,5.00%,2.50%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-10-04,15.00%,0.00%,2.50%,2.50%,5.00%,10.00%,5.00%,7.50%,2.50%,5.00%,5.00%,12.50%,2.50%,5.00%,5.00%,5.00%,5.00%,2.50%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-10-05,15.00%,0.00%,2.50%,2.50%,5.00%,10.00%,5.00%,7.50%,2.50%,5.00%,5.00%,12.50%,2.50%,5.00%,5.00%,5.00%,5.00%,2.50%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-10-06,15.00%,0.00%,2.50%,2.50%,5.00%,10.00%,5.00%,7.50%,2.50%,5.00%,5.00%,12.50%,2.50%,5.00%,5.00%,5.00%,5.00%,2.50%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-10-07,15.00%,0.00%,2.50%,2.50%,5.00%,10.00%,5.00%,7.50%,2.50%,5.00%,5.00%,12.50%,2.50%,5.00%,5.00%,5.00%,5.00%,2.50%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2022-10-08,15.00%,0.00%,2.50%,2.50%,5.00%,10.00%,5.00%,7.50%,2.50%,5.00%,5.00%,12.50%,2.50%,5.00%,5.00%,5.00%,5.00%,2.50%,2.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
